Text,Link
PSLV-C55/TeLEOS-2 Mission is accomplished successfully.,https://www.isro.gov.in/PSLV_C55MissionLandingPage.html
"Watch Launch Streaming of PSLV-C55/TeLEOS-2 Mission on April 22, 2023 at 14:19 hours IST",https://www.isro.gov.in/PSLV_C55Mission_LiveStreaming.html
Second selection list of students for YUVIKA -2023,https://www.isro.gov.in/YUVIKA.html#list1
4th edition of Space Economy Leaders Meeting G20 SELM,https://www.isro.gov.in/g20selm/index.html
"Rozgar Mela:
                  330+ Appointment Orders issued till December 2022",https://www.isro.gov.in/rozgar-mela-appointment-orders-issued-dec-2022.html
